"","Question","Response","Demographic","OctPoll","NovPoll","Difference"
"619","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","$50K-$100K",10,9,-1
"620","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","$100K+",14,9,-5
"621","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Less than college",11,10,-1
"622","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","College degree",16,13,-3
"623","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","Yes",8,12,4
"624","Q8. If the election for Mayor of Syracuse were held today, who would you vote for if the candidates were: ","Don't know/No opinion","No",16,11,-5
"625","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Total",44,52,8
"626","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","M",47,53,6
"627","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","F",42,51,9
"628","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Dem",46,54,8
"629","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Rep",34,49,15
"630","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Ind/ Other",48,50,2
"631","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Perez Williams",47,55,8
"632","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Lavine",39,57,18
"633","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Nicoletti",36,53,17
"634","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Walsh",48,52,4
"635","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Under 55",43,50,7
"636","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","55+",46,55,9
"637","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Lib",39,52,13
"638","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Mod",49,50,1
"639","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Conserv",44,55,11
"640","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","White",40,51,11
"641","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Afr Amer /Black",58,60,2
"642","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","<$50K",47,53,6
"643","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","$50K-$100K",38,54,16
"644","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","$100K+",51,51,0
"645","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Less than college",53,55,2
"646","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","College degree",33,50,17
"647","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","Yes",45,52,7
"648","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Absolutely certain; there's no chance I will change my min","No",45,52,7
"649","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Total",43,37,-6
"650","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","M",41,36,-5
"651","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","F",44,39,-5
"652","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Dem",42,34,-8
"653","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Rep",52,40,-12
"654","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Ind/ Other",39,44,5
"655","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Perez Williams",38,34,-4
"656","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Lavine",51,32,-19
"657","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Nicoletti",46,37,-9
"658","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Walsh",42,40,-2
"659","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Under 55",46,39,-7
"660","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","55+",39,35,-4
"661","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Lib",48,37,-11
"662","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Mod",38,39,1
"663","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Conserv",43,37,-6
"664","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","White",49,39,-10
"665","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Afr Amer /Black",29,26,-3
"666","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","<$50K",41,35,-6
"667","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","$50K-$100K",47,40,-7
"668","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","$100K+",40,35,-5
"669","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Less than college",33,35,2
"670","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","College degree",54,39,-15
"671","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","Yes",48,38,-10
"672","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Fairly certain; it's unlikely I will change my mind","No",40,37,-3
"673","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Total",9,9,0
"674","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","M",10,9,-1
"675","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","F",9,8,-1
"676","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Dem",8,10,2
"677","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Rep",8,9,1
"678","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Ind/ Other",12,4,-8
"679","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Perez Williams",11,7,-4
"680","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Lavine",4,10,6
"681","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Nicoletti",9,7,-2
"682","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Walsh",9,7,-2
"683","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Under 55",7,10,3
"684","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","55+",13,8,-5
"685","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Lib",9,9,0
"686","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Mod",9,9,0
"687","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Conserv",11,7,-4
"688","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","White",9,9,0
"689","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Afr Amer /Black",9,9,0
"690","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","<$50K",9,10,1
"691","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","$50K-$100K",10,5,-5
"692","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","$100K+",9,13,4
"693","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Less than college",8,8,0
"694","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","College degree",11,10,-1
"695","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","Yes",7,9,2
"696","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not very certain; I very well may change my mind","No",11,9,-2
"697","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Total",3,1,-2
"698","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","M",2,2,0
"699","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","F",4,1,-3
"700","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Dem",3,2,-1
"701","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Rep",5,0,-5
"702","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Ind/ Other",0,1,1
"703","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Perez Williams",4,2,-2
"704","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Lavine",6,0,-6
"705","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Nicoletti",7,2,-5
"706","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Walsh",1,1,0
"707","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Under 55",5,1,-4
"708","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","55+",2,2,0
"709","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Lib",3,1,-2
"710","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Mod",3,1,-2
"711","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Conserv",2,1,-1
"712","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","White",2,1,-1
"713","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Afr Amer /Black",4,4,0
"714","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","<$50K",3,2,-1
"715","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","$50K-$100K",5,1,-4
"716","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","$100K+",0,1,1
"717","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Less than college",4,2,-2
"718","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","College degree",1,1,0
"719","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","Yes",0,1,1
"720","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Not certain at all; there's a good chance I will change my","No",4,2,-2
"721","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Total",1,1,0
"722","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","M",0,0,0
"723","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","F",1,1,0
"724","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Dem",1,1,0
"725","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Rep",0,1,1
"726","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Ind/ Other",0,0,0
"727","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Perez Williams",0,1,1
"728","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Lavine",0,0,0
"729","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Nicoletti",1,1,0
"730","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Walsh",0,0,0
"731","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Under 55",0,1,1
"732","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","55+",1,1,0
"733","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Lib",0,0,0
"734","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Mod",1,0,-1
"735","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Conserv",0,0,0
"736","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","White",0,0,0
"737","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Afr Amer /Black",1,1,0
"738","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","<$50K",0,1,1
"739","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","$50K-$100K",0,0,0
"740","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","$100K+",0,0,0
"741","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Less than college",0,1,1
"742","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","College degree",0,0,0
"743","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","Yes",0,0,0
"744","Q9. How likely would you say you are to vote for [CANDIDATE NAME]? ","Don't know/No opinion","No",0,1,1
"745","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Total",21,20,-1
"746","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","M",25,24,-1
"747","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","F",18,17,-1
"748","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Dem",25,18,-7
"749","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Rep",15,20,5
"750","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Ind/ Other",17,30,13
"751","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Perez Williams",18,22,4
"752","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Lavine",8,6,-2
"753","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Nicoletti",18,23,5
"754","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Walsh",16,24,8
"755","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Under 55",24,18,-6
"756","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","55+",17,23,6
"757","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Lib",23,23,0
"758","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Mod",22,23,1
"759","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Conserv",16,12,-4
"760","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","White",21,21,0
"761","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Afr Amer /Black",21,19,-2
"762","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","<$50K",21,23,2
"763","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","$50K-$100K",20,21,1
"764","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","$100K+",21,20,-1
"765","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Less than college",19,21,2
"766","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","College degree",23,21,-2
"767","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","Yes",23,21,-2
"768","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate with the best temperament for the job","No",20,20,0
"769","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Total",63,62,-1
"770","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","M",56,58,2
"771","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","F",68,65,-3
"772","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Dem",62,65,3
"773","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Rep",60,64,4
"774","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Ind/ Other",66,56,-10
"775","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Perez Williams",66,59,-7
"776","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Lavine",56,49,-7
"777","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Nicoletti",74,65,-9
"778","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Walsh",73,69,-4
"779","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Under 55",60,64,4
"780","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","55+",66,60,-6
"781","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Lib",61,62,1
"782","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Mod",67,65,-2
"783","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Conserv",59,64,5
"784","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","White",62,62,0
"785","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Afr Amer /Black",66,58,-8
"786","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","<$50K",63,59,-4
"787","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","$50K-$100K",66,64,-2
"788","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","$100K+",54,63,9
"789","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Less than college",67,62,-5
"790","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","College degree",58,63,5
"791","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","Yes",62,60,-2
"792","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate most willing to make changes here in","No",64,63,-1
"793","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Total",4,8,4
"794","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","M",5,10,5
"795","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","F",4,6,2
"796","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Dem",5,8,3
"797","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Rep",7,10,3
"798","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Ind/ Other",2,3,1
"799","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Perez Williams",8,12,4
"800","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Lavine",11,33,22
"801","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Nicoletti",2,3,1
"802","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Walsh",1,1,0
"803","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Under 55",4,9,5
"804","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","55+",5,5,0
"805","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Lib",8,9,1
"806","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Mod",2,4,2
"807","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Conserv",6,9,3
"808","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","White",6,8,2
"809","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Afr Amer /Black",1,5,4
"810","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","<$50K",4,7,3
"811","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","$50K-$100K",5,7,2
"812","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","$100K+",4,7,3
"813","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Less than college",4,7,3
"814","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","College degree",5,8,3
"815","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","Yes",4,9,5
"816","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate from the political party I support","No",4,7,3
"817","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate that seems to be most like me","Total",8,6,-2
"818","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate that seems to be most like me","M",9,6,-3
"819","Q10. As you consider your Vote Choice* for Mayor of Syracuse, which of the following matters most to you: [CHOICES ROTATED]","Choosing the candidate that seems to be most like me","F",8,6,-2
